VOUCHERID,VOUCHERCODE,VENDOR,VALIDFROM,VALIDTO,PRESENTATIONS,VOUCHERTYPE,CATEGORYCODE,CREDITTIMEMINUTES,RETURNEDFEE,TARIFFCODE
3870,1S53HPE4DBFFO,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
3749,1WUQDKD2PQTQ2,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
3758,1ZSQ0IIXO41XZ,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
3921,20ZI4S5D5HSJ1,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
3748,211FXQ13JFC58,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
3970,2ATWJXJZ7DKRY,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3773,2CSS4PHEQVDLQ,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
3744,2R99TZVSZDRRV,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
3927,2WHREUA1HMXRU,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
3774,2Z34EZENTUIY3,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
4055,32YGFM76PC9TD,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
4069,37FICFG9I3ZN1,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3951,38O1PO3QF1D8S,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3848,3FF7B8N65I38Q,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
3943,497F0S8FDC2AR,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
3806,4C5Q6YWWITDG9,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
4038,4E5XYUTKTKJOA,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
4085,4I7MSWEHQVVP9,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3839,4PP7Q3N04GZ17,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
3977,4Q68X7VPG53B6,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3868,4RLFM5KJJNVRR,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
3881,4XNXL904ZQJNZ,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
3827,4YMA2CZJP54IV,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
3846,50V6X6OB9VD1M,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
3980,528UYZZMACGB1,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3948,5GVSCUK14APJ4,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
3960,5KTLW7D2ZZ4CA,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
4059,5QIBLIPV3RZIM,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
3781,5QR83ONG4JO94,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
3982,5Z95C4K1JD7FJ,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
4040,5ZE7IHU29N4TJ,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
3770,612ENWPFES0HE,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
3896,662FTTJQNCAXC,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
4015,6EZMM88U7NJH5,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
3743,6FNJG4VWNGPRX,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
4050,6L82N040H8LBK,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
3944,6PTL3GAO1YT1M,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
3790,6Y2LWBGZA5HHJ,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
3991,71Q1RC4SBMC2T,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3955,72P2LLI872ULC,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
4007,764F7ZRM694R4,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
4066,774PF0P29NHTR,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
3899,7BTV08LN15LED,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
4031,7E45NLRJ4OOZ2,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
4044,7GILAP46FLO3B,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
4089,7LPIW1ELCU8J5,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3808,7SINLPN5ERBE1,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
3967,7TPKKVGWESQK1,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3888,7V8AOMTI7ZO5S,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
3785,7ZEY58HLZ5RQX,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
3882,82RMUS1207QW0,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
3911,87NIRZ78M3E21,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
3872,88RRLRQAE2OPF,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
3916,88ZBYU29R1WMA,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
3764,8JDPT8JMI78DK,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
3765,8JR93VHKWOW1A,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
4033,8MMZHAGIARWB3,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
4002,8OXA108FT8NFI,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3751,8U48DKMCEFA6Q,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
3932,8WY0VVYJORUPB,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
3992,8XFEHYAE2GZN2,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3895,9388Q6DQI9AQX,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
4093,93NL64FUIJZCI,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3972,950OGF4MDCM9Q,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
4075,95DVOQ422JHPI,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
4068,9910S3ST6WFY7,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
3889,9CHC74E7UR7M1,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
4084,9FH2TLYCHMLVJ,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3883,9NMQTD9CRU5WU,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
3987,9RXRHQHP6RAZU,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3850,9VJ74FPJCI6BU,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
3815,9X5EOJAWFINKX,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
3884,A141FDDBM0U2I,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
4020,A1YSDSGVAM55B,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
4034,A3RYR733XOLJE,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
4070,A5CU4WIX0QBI4,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3777,AG5JSJ4AL7DJX,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
4014,AI3EPAWPP4XXZ,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
3837,AJ6YPXIK2S4I6,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
3910,AKOJ9VLY6CSKE,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
4041,ANPV4N68TYYCM,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
3830,AXE6TMU83J8VI,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
4000,B0G7854Z8E9IK,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3893,B1EL8GUMKYOEX,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
3842,B4FK8OT9ANBIR,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
3903,B7A53JWIVGUG3,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
3822,B9OGCEVDOSM5X,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
3755,BHPGIF242MRKW,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
3845,BJAX3P01R785F,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
3835,BNV254PVQN0D5,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
4026,BYB1ZINK13CII,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
4043,C4HSNU4YJB0D7,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
3840,C4U3R59K71Q2A,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
3793,C6CMYRWQR2OZ0,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
4072,CAR1FBN13WQM2,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3809,CE9E1V60093G8,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
3762,CHDG5RJN8G273,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
4042,CIOFMVUSZ4FVC,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
4003,CN0OZFK9P0A16,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3969,CPVA4ROBYSOAW,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3939,CWPPIQJRJWF1P,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
3968,CYU495D5VZLKV,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3817,D37ZN94NWVZ2Z,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
3772,D46PYV7DU60KI,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
3962,DBZSJRUOF2KB4,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
4067,DHPNNLX5MCHGR,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
4013,DN7D6WTUI8BWN,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
3988,DXICZCF9H9VXZ,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
4018,DY3C5T7T1DBMW,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
3959,E2LDC9EV4CSGK,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3996,E3Z4NG7JH3CUU,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
4077,E577HCCFEEEE0,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3964,E6JKBMSP3CCHQ,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
4037,EFWK8BPDQKMXV,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
4046,EIX2HXCPXOJO3,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
3775,EKBG8MF4IWQT3,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
4022,EM52JK2ATF4I9,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
4080,EMCRAYGE4RPAK,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3963,EMYODRBCUUZ0O,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3851,ENPPAI9LZBF4H,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
3787,EPTH7U15CM4ID,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
3975,EXMGZUMNQ82NN,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3795,F4QC3MQKNHD4T,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
3906,F7342JTMJS7YW,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
3912,FEXQR3OA9Q44I,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
3838,FFDL7DIWB9X5O,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
3933,FFXCFCA6IRNYE,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
3897,FIFE6XB8G1NLI,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
3814,FIFIK0W72LQSW,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
3873,FNXOF0CZOGZH1,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
3886,FOXRIVZAR9792,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
4092,G4IZKJJY7HD95,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3780,GZ2L42NVB8VJD,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
3909,H0YEGCNQ6AAUM,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
4098,HC2T169ED6961,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3920,HHARB16ZATZHI,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
3747,HJNHB52VMT681,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
3742,HLGLY4QOLH655,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
4065,HQN0RLBF0ELS8,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
3866,HXLRS8SQK0OS0,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
3998,I2J8SUZTCH7HQ,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
4032,I5QTTH1DVHB8Q,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
3956,I69JCCB43ZQX0,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
4045,I81KTK92KB0AL,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
3754,IDZTJEHP7AOU2,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
3858,IG34EZ0S1JR83,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
3849,II0CX76QERZUF,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
4005,IKF75XK6F7EYI,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
4016,ITNCHEAZ7682V,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
3819,IUV0YX2LGHZP5,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
3949,IWKB81UCKNCLB,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3952,IZ1U2SHBBWCSQ,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
4096,J168UTWBSF9JB,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3971,J26M3E9YS0BDY,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3981,J76DR4ASTE96C,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3832,J8CRJ6HW0WYJJ,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
3990,J8J3HARZ5VOFD,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3760,JC5QBLEBJGQS4,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
4058,JGFKZFKK058VS,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
4011,JNWDBA1GL25C8,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
3860,K0V8P0DCY5PFX,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
3782,K3QPHXU8HUS1S,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
3974,KA8JKRTUYN9T7,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
4061,KQJ2UIUHT2SPP,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
3856,L3EZA6BIA2BYH,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
4095,L3NWXSAPHM2YC,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3946,LA8S3KFBRTNIF,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
4012,LGFXC8F17BYFR,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
3983,LI2MPJHBYOBVP,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3847,LJC718K675PRO,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
4027,LREENLKHTBGR7,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
3914,LWOXQKQHPHBQU,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
3907,LZ8CBTU268ISD,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
4004,LZS72PJO6PB7M,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3985,M0A9487HT20GY,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3999,M3ETK6UAHBTAN,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3861,M7Z2VJB4OQE7S,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
3801,M84RE70BKLO47,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
4062,MDCQYQBMU971P,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
3941,MHYJEIM6G239D,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
4081,MISNT5Y4L2027,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3958,MLA1ZAC3NRBQQ,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3928,MM28SE6648OQZ,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
3794,MN1ZQVC9K1MER,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
3826,MOG2TTE4S8K1L,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
3900,MPY0EO4LBHJ9R,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
3908,MR48N90IDHJED,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
3759,MZ3CWJ7GV3AGN,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
3901,NF2UBZMU0APUB,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
3818,NJ4A928W9437L,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
3805,NLZCZK8SITU0O,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
4008,NQAF1NIT453O0,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3820,NQKDHPCL4YFI9,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
3979,NRPJ37M7Z6RSK,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3965,NSWJ2WC3K7NHF,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3887,NTYWW1YLTBKN4,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
3829,NU2SYUJSJU9ZD,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
3905,NYACDIZ9XOT4G,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
4009,NYR3BSLYZOBAA,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
3936,O4O0FLBQHPP2Q,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
3823,O59N5PRZIP4CI,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
4021,O5C6P9L5Z3G1I,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
3989,O5ME7BBO8QTBU,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3786,O85O31CBD9B5E,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
4071,OB7GUKZQSZ0E9,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
4083,OCI629L6LCO8P,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3938,OGT0MCV1P0HTT,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
3934,OI4WA4UVJYNX5,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
4036,OSUIN3SZG8V70,St Barts,2026-09-20T00:00:00,2026-09-26T00:00:00,1,Category,2,,,
